Task name,Tags,Time estimate,Start date ,Due date,Dependencies,Custom Field [text] [WBS],Description,Checklist [Υδραυλική Μελέτη],Checklist [Τοπογραφικά],Checklist [Τεχνικές Περιγραφές],Checklist [Σχέδια Χωροθέτησης],Checklist [Οριζοντιογραφία Συνοδών Έργων],Checklist [Φυτοτεχνικές Μελέτες],Checklist [Διαβούλευση],Checklist [Αίτηση Τροποποίησης ΑΕΠΟ/ΠΠΔ],Custom Field [checkbox] [Natura],Custom Field [checkbox] [Ρέματα],Custom Field [drop_down] [Contractor],Comments
PVK1017-01_ΚΛΑΔΩΡΗ-10p17_ΑΓΙΑΣ-ΛΑΡΙΣΑΣ,DEPA,,,,,,"Περιβαλλοντική Άδεια: 83510/30.11.2023
ΣΑΗΕ (Max έγχυση/απορρόφηση): 10,17328 / 12,8
Έκταση ΡΑΑΕΥ (τμ): 107699.95
Κάτοχος Άδειας: ΕΝΕΡΓΕΙΑΚΗ ΑΣΠΡΟΧΩΜΑΤΟΣ Α.Ε.
Βεβαίωση Παραγωγού: ΑΔ-07011",Κατάσταση: ΧΡΕΙΑΖΕΤΑΙ ΒΕΒΑΙΩΣΗ ΣΥΜΒΑΤΟΤΗΤΑΣ ΜΕ ΤΟ ΑΝΑΘΕΩΡΗΜΕΝΟ ΣΔΛΑΠ (ΟΚ);Σημείωση: ΧΡΕΙΑΖΕΤΑΙ ΒΕΒΑΙΩΣΗ ΣΥΜΒΑΤΟΤΗΤΑΣ ΜΕ ΤΟ ΑΝΑΘΕΩΡΗΜΕΝΟ ΣΔΛΑΠ (ΟΚ),Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;ΔΑΣΑΡΧΕΙΟ ΑΓΙΑΣ: ΘΕΤΙΚΗ ΥΠΟ ΌΡΟΥΣ;Δ/ΝΣΗ ΔΑΣΩΝ: ΘΕΤΙΚΗ ΥΠΟ ΌΡΟΥΣ;Δ/ΝΣΗ ΣΥΝΤΟΝΙΣΜΟΥ & ΕΠΙΘΕΩΡΗΣΗΣ ΔΑΣΩΝ: ΕΚΚΡΕΜΕΙ;ΕΦΟΡΕΙΑ ΠΑΛΑΙΟΑΝΘΡΩΠΟΛΟΓΙΑΣ – ΣΠΗΛΑΙΟΛΟΓΙΑΣ: ΘΕΤΙΚΗ ΥΠΟ ΌΡΟΥΣ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Αρ. πρωτ. ΔΙ.ΠΕ.ΧΩ.Σ.Θ.: 30742/27.06.2025,true,true,Κουτσουμπή ΜΕ,ΑΝΑΜΟΝΗ ΤΗΣ ΓΝΩΜΟΔΟΤΗΣΗΣ ΑΠΟ ΤΗ Δ/ΝΣΗ ΣΥΝΤΟΝΙΣΜΟΥ ΚΑΙ ΕΠΙΘΕΩΡΗΣΗΣ ΔΑΣΩΝ ΓΙΑ ΤΗΝ ΈΚΔΟΣΗ ΤΗΣ ΑΠΟΦΑΣΗΣ ΤΡΟΠΟΠΟΙΗΣΗΣ ΑΕΠΟ.
PVK0500-01_ΠΕΡΑΣΜΑΜΕΛΟΥΝΑ-5p00_ΤΥΡΝΑΒΟΥ-ΛΑΡΙΣΑΣ,DEPA,,,,,,"Περιβαλλοντική Άδεια: 43722/09.03.2022
ΣΑΗΕ (Max έγχυση/απορρόφηση): 5,0 / 6,4
Έκταση ΡΑΑΕΥ (τμ): 109651.58
Κάτοχος Άδειας: ΑΧΑΤΗΣ OPERATION Ι.Κ.Ε.
Βεβαίωση Παραγωγού: ΑΔ-07210",Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,"Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Αρ. πρωτ. 45464/23.09.2025 Αποκεντρωμένη Διοίκηση, Αρ. πρωτ. 46526/30.09.2025 Διαβίβαση φακέλου σε Περιφέρεια Θεσσαλίας από Αποκεντρωμένη-Δ/νση Τεχνικού Ελέγχου, Αρ. πρωτ. 376033/06.10.2025 Περιφέρεια Θεσσαλίας, Αρ. πρωτ. 435059/10.11.2025 Περιφέρεια Θεσσαλίας (επιστολή ενημέρωσης Υποβολής του Φακέλου στο ΗΠΜ)",false,false,Κουτσουμπή ΜΕ,ΧΡΕΩΣΗ ΚΑ ΚΙΑΚΟΥ. ΕΠΙΣΤΡΟΦΗ ΦΑΚΕΛΟΥ ΛΟΓΩ ΑΠΟΥΣΙΑΣ ΈΓΚΡΙΣΗΣ ΤΗΣ ΦΥΤΟΤΕΧΝΙΚΗΣ ΜΕΛΕΤΗΣ ΑΠΌ ΔΑΟ Π.Ε. ΛΑΡΙΣΑΣ. ΕΓΙΝΕ ΑΙΤΗΜΑ ΣΤΗ ΔΑΟ Π.Ε. ΛΑΡΙΣΑΣ - ΧΡΕΩΣΗ ΚΟΣ ΠΑΠΠΑΣ (5399/09.01.2026) - ΑΝΑΜΟΝΗ ΤΗΣ ΣΥΜΦΩΝΗΣ ΓΝΩΜΗΣ ΏΣΤΕ ΝΑ ΓΙΝΕΙ ΕΚ ΝΕΟΥ ΑΝΑΡΤΗΣΗ ΤΟΥ ΑΙΤΗΜΑΤΟΣ.
PVK1088-01_ΠΕΡΑΣΜΑΜΕΛΟΥΝΑ-10p88_ΤΥΡΝΑΒΟΥ-ΛΑΡΙΣΑΣ,DEPA,,,,,,"Περιβαλλοντική Άδεια: 49016/30.06.2023
ΣΑΗΕ (Max έγχυση/απορρόφηση): 10,87578 / 10,87578
Έκταση ΡΑΑΕΥ (τμ): 146416.28
Κάτοχος Άδειας: PAESI ΕΝΕΡΓΕΙΑΚΗ ΕΝΑ Ι.Κ.Ε.
Βεβαίωση Παραγωγού: ΑΔ-06916",Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Αρ. πρωτ. ΔΙ.ΠΕ.ΧΩ.Σ.Θ.: 55402/17.11.2025                           Αρ. πρωτ. ΔΙ.ΠΕ.ΧΩ.Σ.Θ.: 2847/20.01.2026,false,false,Κουτσουμπή ΜΕ,ΧΡΕΩΣΗ ΚΑ ΤΡΑΪΚΟΥ. ΕΠΑΝΥΠΟΒΟΛΗ ΦΑΚΕΛΟΥ ΧΩΡΙΣ ΤΟΝ Υ/Σ ΣΤΙΣ 18.01.2026
PVK1100-01_ΕΡΦΥΛΑΚΙΟΥ-11p00_ΤΥΡΝΑΒΟΥ-ΛΑΡΙΣΑΣ,DEPA,,,,,,"Περιβαλλοντική Άδεια: 141026/01.11.2022
ΣΑΗΕ (Max έγχυση/απορρόφηση): 11,0 / 11,0
Έκταση ΡΑΑΕΥ (τμ): 169227.42
Κάτοχος Άδειας: PAESI ΕΝΕΡΓΕΙΑΚΗ ΔΥΟ Ι.Κ.Ε.
Βεβαίωση Παραγωγού: ΑΔ-07208",Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Αρ. πρωτ. ΔΙ.ΠΕ.ΧΩ.Σ.Θ.: 1225/12.01.2026,false,false,Κουτσουμπή ΜΕ,"ΥΠΟΒΟΛΗ ΚΟΙΝΗΣ ΜΕΛΕΤΗΣ ΜΕ ΤΟ ΈΡΓΟ ""ΕΡ. ΦΥΛΑΚΙΟΥ"" 14MW. ΣΕ ΕΛΕΓΧΟ ΠΛΗΡΟΤΗΤΑΣ ΑΠΟ ΚΑ ΤΡΑΪΚΟΥ"
PVK0227-01_ΓΛΥΚΙΟ-2p27_ΔΕΛΦΩΝ-ΦΩΚΙΔΑΣ,DEPA;Κοινή Μελέτη Κούτρος Γλυκιό,,,,,,"Περιβαλλοντική Άδεια: 47547/15.03.2022
ΣΑΗΕ (Max έγχυση/απορρόφηση): 2,26728 / 2,26728
Έκταση ΡΑΑΕΥ (τμ): 30005.94
Κάτοχος Άδειας: NEW SPES CONCEPT M.A.E.
Βεβαίωση Παραγωγού: ΑΔ-06917",Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Κατάσταση: ΑΓΝΩΣΤΟ,false,false,Κουτσουμπή ΜΕ,"ΥΠΟΒΟΛΗ  ΚΟΙΝΗΣ ΜΕΛΕΤΗΣ ΜΕ ΤΟ ΈΡΓΟ ""ΚΟΥΤΡΟΣ"""
PVK1400-01_ΕΡΦΥΛΑΚΙΟΥ-14p00_ΤΥΡΝΑΒΟΥ-ΛΑΡΙΣΑΣ,DEPA,,,,,,"Περιβαλλοντική Άδεια: 141026/01.11.2022
ΣΑΗΕ (Max έγχυση/απορρόφηση): 14,00000/14
Έκταση ΡΑΑΕΥ (τμ): 322565.61
Κάτοχος Άδειας: NEW SPES CONCEPT M.A.E.
Βεβαίωση Παραγωγού: ΑΔ-07211",Κατάσταση: ΧΡΕΙΑΖΕΤΑΙ ΒΕΒΑΙΩΣΗ ΣΥΜΒΑΤΟΤΗΤΑΣ ΜΕ ΤΟ ΑΝΑΘΕΩΡΗΜΕΝΟ ΣΔΛΑΠ (ΟΚ);Σημείωση: ΧΡΕΙΑΖΕΤΑΙ ΒΕΒΑΙΩΣΗ ΣΥΜΒΑΤΟΤΗΤΑΣ ΜΕ ΤΟ ΑΝΑΘΕΩΡΗΜΕΝΟ ΣΔΛΑΠ (ΟΚ),Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Αρ. πρωτ. ΔΙ.ΠΕ.ΧΩ.Σ.Θ.: 1225/12.01.2026,false,true,Κουτσουμπή ΜΕ,"ΥΠΟΒΟΛΗ ΚΟΙΝΗΣ ΜΕΛΕΤΗΣ ΜΕ ΤΟ ΈΡΓΟ ""ΕΡ. ΦΥΛΑΚΙΟΥ"" 11MW. ΣΕ ΕΛΕΓΧΟ ΠΛΗΡΟΤΗΤΑΣ ΑΠΌ ΚΑ ΤΡΑΪΚΟΥ"
PVK4343-01_ΑΕΤΟΦΩΛΙΑ-43p43_ΔΕΛΦΩΝ-ΦΩΚΙΔΑΣ,DEPA;Κοινή Μελέτη Κουτρης Μονόλιθο Αετοφωλιά,,,,,,"Περιβαλλοντική Άδεια: 120075/29.07.2022
ΣΑΗΕ (Max έγχυση/απορρόφηση): 43,42873/43,42873
Έκταση ΡΑΑΕΥ (τμ): 599864.29
Κάτοχος Άδειας: NEW SPES CONCEPT M.A.E.
Βεβαίωση Παραγωγού: ΑΔ-07025",Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΑΓΝΩΣΤΟ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Κατάσταση: ΑΓΝΩΣΤΟ,false,false,Κουτσουμπή ΜΕ,"ΥΠΟΒΟΛΗ ΚΟΙΝΗΣ ΜΕΛΕΤΗΣ ΜΕ ΤΑ  ΈΡΓΑ ""ΚΟΥΤΡΗΣ"" ΚΑΙ ""ΜΟΝΟΛΙΘΟ"""
PVK0911-01_ΚΑΣΤΡΟΝ-9p11_ΚΟΖΑΝΗΣ-ΣΕΡΒΙΩΝ-ΚΟΖΑΝΗΣ,DEPA,,,,,,"Περιβαλλοντική Άδεια: 1054/09.01.2024
ΣΑΗΕ (Max έγχυση/απορρόφηση): 9,10731/9,10731
Έκταση ΡΑΑΕΥ (τμ): 112818.45
Κάτοχος Άδειας: NEW SPES CONCEPT M.A.E.
Βεβαίωση Παραγωγού: ΑΔ-06915",Κατάσταση: ΧΡΕΙΑΖΕΤΑΙ ΒΕΒΑΙΩΣΗ ΣΥΜΒΑΤΟΤΗΤΑΣ ΜΕ ΤΟ ΑΝΑΘΕΩΡΗΜΕΝΟ ΣΔΛΑΠ (ΟΚ);Σημείωση: ΧΡΕΙΑΖΕΤΑΙ ΒΕΒΑΙΩΣΗ ΣΥΜΒΑΤΟΤΗΤΑΣ ΜΕ ΤΟ ΑΝΑΘΕΩΡΗΜΕΝΟ ΣΔΛΑΠ (ΟΚ),Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΑΓΝΩΣΤΟ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Κατάσταση: ΑΓΝΩΣΤΟ,false,true,Κουτσουμπή ΜΕ,
PVK1007-01_ΣΚΑΛΕΣ-10p07_ΣΕΡΒΙΩΝ-ΚΟΖΑΝΗΣ,DEPA,,,,,,"Περιβαλλοντική Άδεια: 1054/09.01.2024
ΣΑΗΕ (Max έγχυση/απορρόφηση): 10,06675/10,06675
Έκταση ΡΑΑΕΥ (τμ): 110850.9
Κάτοχος Άδειας: NEW SPES CONCEPT M.A.E.
Βεβαίωση Παραγωγού: ΑΔ-06919",Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΑΓΝΩΣΤΟ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Κατάσταση: ΑΓΝΩΣΤΟ,false,false,Κουτσουμπή ΜΕ,
PVK0962-01_ΚΟΥΤΡΟΣ-9p62_ΔΕΛΦΩΝ-ΦΩΚΙΔΑΣ,DEPA;Κοινή Μελέτη Κούτρος Γλυκιό,,,,,,"Περιβαλλοντική Άδεια: 218360/18.10.2021
ΣΑΗΕ (Max έγχυση/απορρόφηση): 9,61584/9,61584
Έκταση ΡΑΑΕΥ (τμ): 140395.97
Κάτοχος Άδειας: NEW SPES CONCEPT M.A.E.
Βεβαίωση Παραγωγού: ΑΔ-06918",Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΥΠΑΡΧΕΙ,Κατάσταση: ΑΓΝΩΣΤΟ,Κατάσταση: ΥΠΟ ΕΚΠΟΝΗΣΗ;Σημείωση: ΥΠΟ ΕΚΠΟΝΗΣΗ,Καταγραφή/παρακολούθηση γνωμοδοτήσεων;Κατάσταση: ΑΓΝΩΣΤΟ,Υποβολή/παρακολούθηση αίτησης τροποποίησης ΑΕΠΟ/ΠΠΔ;Κατάσταση: ΑΓΝΩΣΤΟ,false,false,Κουτσουμπή ΜΕ,"ΥΠΟΒΟΛΗ  ΚΟΙΝΗΣ ΜΕΛΕΤΗΣ ΜΕ ΤΟ ΈΡΓΟ ""ΓΛΥΚΙΟ"""
