Task name,Description,Custom Field [text] [company name],Custom Field [text] [VAT],Custom Field [text] [company type],Custom Field [text] [name code]
4EENER-AE-998808360,"4Ε ΕΝΕΡΓΕΙΑΚΗ ΕΤΑΙΡΕΙΑ ΑΕ
VAT: 998808360
Type: AE
NameCode: 4EENER
Company folder: 4EENER-AE-998808360",4Ε ΕΝΕΡΓΕΙΑΚΗ ΕΤΑΙΡΕΙΑ ΑΕ,998808360,AE,4EENER
ADMOTE-AE-094459299,"ADMOTEC AE
VAT: 094459299
Type: AE
NameCode: ADMOTE
Company folder: ADMOTE-AE-094459299",ADMOTEC AE,094459299,AE,ADMOTE
ATHBIO-IK-803026649,"AETHER BIOCHAR TECHNOLOGIES IKE
VAT: 803026649
Type: IK
NameCode: ATHBIO
Company folder: ATHBIO-IK-803026649",AETHER BIOCHAR TECHNOLOGIES IKE,803026649,IK,ATHBIO
AFCONS-IK-802328003,"AF CONSULTING ΜΟΝ ΙΚΕ
VAT: 802328003
Type: IK
NameCode: AFCONS
Company folder: AFCONS-IK-802328003",AF CONSULTING ΜΟΝ ΙΚΕ,802328003,IK,AFCONS
AGRBRY-MIK-803059656,"AGROBERRY MIKE
VAT: 803059656
Type: MIK
NameCode: AGRBRY
Company folder: AGRBRY-MIK-803059656",AGROBERRY MIKE,803059656,MIK,AGRBRY
AKSOLR-IK-801374704,"AK SOLAR MΟΝΟΠΡΟΣΩΠΗ IKE
VAT: 801374704
Type: IK
NameCode: AKSOLR
Company folder: AKSOLR-IK-801374704",AK SOLAR MΟΝΟΠΡΟΣΩΠΗ IKE,801374704,IK,AKSOLR
ATLCOR-IK-803043056,"ATLASCORE IKE
VAT: 803043056
Type: IK
NameCode: ATLCOR
Company folder: ATLCOR-IK-803043056",ATLASCORE IKE,803043056,IK,ATLCOR
AVLIEN-MIK-801621154,"AVLIDA ENERGY ΜIKE
VAT: 801621154
Type: MIK
NameCode: AVLIEN
Company folder: AVLIEN-MIK-801621154",AVLIDA ENERGY ΜIKE,801621154,MIK,AVLIEN
BONITS-AE-998383734,"BONITAS SOLARIS AE
VAT: 998383734
Type: AE
NameCode: BONITS
Company folder: BONITS-AE-998383734",BONITAS SOLARIS AE,998383734,AE,BONITS
CLDCOR-IK-803025339,"CLOUDCORE IKE
VAT: 803025339
Type: IK
NameCode: CLDCOR
Company folder: CLDCOR-IK-803025339",CLOUDCORE IKE,803025339,IK,CLDCOR
DIMPAN-AE-800339765,"DIMPAN CONSTRUCTIONS AE
VAT: 800339765
Type: AE
NameCode: DIMPAN
Company folder: DIMPAN-AE-800339765",DIMPAN CONSTRUCTIONS AE,800339765,AE,DIMPAN
ENERGY-AE-998807037,"ENERGY LINE AE
VAT: 998807037
Type: AE
NameCode: ENERGY
Company folder: ENERGY-AE-998807037",ENERGY LINE AE,998807037,AE,ENERGY
HABITA-AE-800341539,"HABITATIO ΑΕ (ΠΡΩΗΝ SOLAR FM)
VAT: 800341539
Type: AE
NameCode: HABITA
Company folder: HABITA-AE-800341539",HABITATIO ΑΕ (ΠΡΩΗΝ SOLAR FM),800341539,AE,HABITA
HELPEL-AE-800450399,"HELLAS PELLETS AE
VAT: 800450399
Type: AE
NameCode: HELPEL
Company folder: HELPEL-AE-800450399",HELLAS PELLETS AE,800450399,AE,HELPEL
IPSOLR-IK-801404412,"IP SOLAR ΜΟΝΟΠΡΟΣΩΠΗ IKE
VAT: 801404412
Type: IK
NameCode: IPSOLR
Company folder: IPSOLR-IK-801404412",IP SOLAR ΜΟΝΟΠΡΟΣΩΠΗ IKE,801404412,IK,IPSOLR
KALLOS-IK-803082426,"KALLOS FRAOULA ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ
VAT: 803082426
Type: IK
NameCode: KALLOS
Company folder: KALLOS-IK-803082426",KALLOS FRAOULA ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,803082426,IK,KALLOS
KOFFRA-MIK-803081466,"KOFIDOU FRAOULA MIKE
VAT: 803081466
Type: MIK
NameCode: KOFFRA
Company folder: KOFFRA-MIK-803081466",KOFIDOU FRAOULA MIKE,803081466,MIK,KOFFRA
LEOPAN-AE-800340819,"LEOPAN CONSTRUCTIONS AE
VAT: 800340819
Type: AE
NameCode: LEOPAN
Company folder: LEOPAN-AE-800340819",LEOPAN CONSTRUCTIONS AE,800340819,AE,LEOPAN
MAKMIK-MIK-801416484,"MAK K ΜΟΝΟΠΡΟΣΩΠΗ IKE
VAT: 801416484
Type: MIK
NameCode: MAKMIK
Company folder: MAKMIK-MIK-801416484",MAK K ΜΟΝΟΠΡΟΣΩΠΗ IKE,801416484,MIK,MAKMIK
KOFIDM-IK-801386057,"MARIA KOFIDOU MΟΝΟΠΡΟΣΩΠΗ IKE
VAT: 801386057
Type: IK
NameCode: KOFIDM
Company folder: KOFIDM-IK-801386057",MARIA KOFIDOU MΟΝΟΠΡΟΣΩΠΗ IKE,801386057,IK,KOFIDM
MINING-MIK-801360202,"MINING X ENERGY MIKE (ΑΝΔΡΕΑΣ Τ. ΜΕΛΕΤΙΟΥ ΜΙΚΕ)
VAT: 801360202
Type: MIK
NameCode: MINING
Company folder: MINING-MIK-801360202",MINING X ENERGY MIKE (ΑΝΔΡΕΑΣ Τ. ΜΕΛΕΤΙΟΥ ΜΙΚΕ),801360202,MIK,MINING
MOVOFR-MIK-803082414,"MOVO FRAOULA ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ
VAT: 803082414
Type: MIK
NameCode: MOVOFR
Company folder: MOVOFR-MIK-803082414",MOVO FRAOULA ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,803082414,MIK,MOVOFR
NEWSUN-AE-800339685,"NEW SUNRISE AE
VAT: 800339685
Type: AE
NameCode: NEWSUN
Company folder: NEWSUN-AE-800339685",NEW SUNRISE AE,800339685,AE,NEWSUN
NIKMIK-MIK-801429387,"NIK K ΜΟΝΟΠΡΟΣΩΠΗ IKE
VAT: 801429387
Type: MIK
NameCode: NIKMIK
Company folder: NIKMIK-MIK-801429387",NIK K ΜΟΝΟΠΡΟΣΩΠΗ IKE,801429387,MIK,NIKMIK
NYCONT-OE-800070618,"NYCONTEC & ΣΙΑ ΟΕ - PETRA & FOS OE
VAT: 800070618
Type: OE
NameCode: NYCONT
Company folder: NYCONT-OE-800070618",NYCONTEC & ΣΙΑ ΟΕ - PETRA & FOS OE,800070618,OE,NYCONT
NYCONT-AE-800120884,"NYCONTEC ΞΕΝ. ΑΕ
VAT: 800120884
Type: AE
NameCode: NYCONT
Company folder: NYCONT-AE-800120884",NYCONTEC ΞΕΝ. ΑΕ,800120884,AE,NYCONT
ODITEC-AE-997597831,"ODITEC AE
VAT: 997597831
Type: AE
NameCode: ODITEC
Company folder: ODITEC-AE-997597831",ODITEC AE,997597831,AE,ODITEC
PAPENE-AE-800372393,"PAP ENERGY AE
VAT: 800372393
Type: AE
NameCode: PAPENE
Company folder: PAPENE-AE-800372393",PAP ENERGY AE,800372393,AE,PAPENE
Q PACK-AE-800557897,"Q PACK AE
VAT: 800557897
Type: AE
NameCode: Q PACK
Company folder: Q PACK-AE-800557897",Q PACK AE,800557897,AE,Q PACK
REGION-AE-997801489,"REGIONAL INVESTMENTS AE
VAT: 997801489
Type: AE
NameCode: REGION
Company folder: REGION-AE-997801489",REGIONAL INVESTMENTS AE,997801489,AE,REGION
RESCOR-IK-803025296,"RESILIENTCORE IKE
VAT: 803025296
Type: IK
NameCode: RESCOR
Company folder: RESCOR-IK-803025296",RESILIENTCORE IKE,803025296,IK,RESCOR
RHIPSA-MIK-800907496,"RHIPSALIS ΜΙΚΕ (ΠΡΩΗΝ ΤΙΝΑ ΠΑΝΑΓΑΚΟΥ ΤΟΥΡΙΣΤΙΚΗ ΙΚΕ)
VAT: 800907496
Type: MIK
NameCode: RHIPSA
Company folder: RHIPSA-MIK-800907496",RHIPSALIS ΜΙΚΕ (ΠΡΩΗΝ ΤΙΝΑ ΠΑΝΑΓΑΚΟΥ ΤΟΥΡΙΣΤΙΚΗ ΙΚΕ),800907496,MIK,RHIPSA
SAISL1-AE-801224517,"SAISON SOLAIR ΕΝΑ (1) ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ
VAT: 801224517
Type: AE
NameCode: SAISL1
Company folder: SAISL1-AE-801224517",SAISON SOLAIR ΕΝΑ (1) ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ,801224517,AE,SAISL1
SAISL2-AE-801224474,"SAISON SOLAIRE ΔΥΟ (2) ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ
VAT: 801224474
Type: AE
NameCode: SAISL2
Company folder: SAISL2-AE-801224474",SAISON SOLAIRE ΔΥΟ (2) ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ,801224474,AE,SAISL2
SOFTA_-MIK-801421181,"SOFTA ΜΟΝΟΠΡΟΣΩΠΗ  ΙΚΕ
VAT: 801421181
Type: MIK
NameCode: SOFTA_
Company folder: SOFTA_-MIK-801421181",SOFTA ΜΟΝΟΠΡΟΣΩΠΗ  ΙΚΕ,801421181,MIK,SOFTA_
SCHELL-AE-999646002,"SOLAR CELLS HELLAS AE
VAT: 999646002
Type: AE
NameCode: SCHELL
Company folder: SCHELL-AE-999646002",SOLAR CELLS HELLAS AE,999646002,AE,SCHELL
SLCON1-AE-800340242,"SOLAR CONCEPT ENA(1) AE
VAT: 800340242
Type: AE
NameCode: SLCON1
Company folder: SLCON1-AE-800340242",SOLAR CONCEPT ENA(1) AE,800340242,AE,SLCON1
SLCON2-AE-800341054,"SOLAR CONCEPT ΔΥΟ(2) ΑΕ
VAT: 800341054
Type: AE
NameCode: SLCON2
Company folder: SLCON2-AE-800341054",SOLAR CONCEPT ΔΥΟ(2) ΑΕ,800341054,AE,SLCON2
SLDAT1-AE-800340440,"SOLAR DATUM ENA(1) AE
VAT: 800340440
Type: AE
NameCode: SLDAT1
Company folder: SLDAT1-AE-800340440",SOLAR DATUM ENA(1) AE,800340440,AE,SLDAT1
SLDAT2-AE-800341527,"SOLAR DATUM ΔΥΟ(2) AE
VAT: 800341527
Type: AE
NameCode: SLDAT2
Company folder: SLDAT2-AE-800341527",SOLAR DATUM ΔΥΟ(2) AE,800341527,AE,SLDAT2
SLFACT-EPE-999012590,"SOLAR FACTORY ΜON. ΕΠΕ
VAT: 999012590
Type: EPE
NameCode: SLFACT
Company folder: SLFACT-EPE-999012590",SOLAR FACTORY ΜON. ΕΠΕ,999012590,EPE,SLFACT
SOLSTI-MIK-801263520,"SOLSTICE MIKE
VAT: 801263520
Type: MIK
NameCode: SOLSTI
Company folder: SOLSTI-MIK-801263520",SOLSTICE MIKE,801263520,MIK,SOLSTI
SOLST2-IK-801457927,"SOLSTICE TWO ΜΟΝ IKE
VAT: 801457927
Type: IK
NameCode: SOLST2
Company folder: SOLST2-IK-801457927",SOLSTICE TWO ΜΟΝ IKE,801457927,IK,SOLST2
SOLTEC-AE-998807584,"SOLTECH AE
VAT: 998807584
Type: AE
NameCode: SOLTEC
Company folder: SOLTEC-AE-998807584",SOLTECH AE,998807584,AE,SOLTEC
SONADO-IK-801455240,"SONADO ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ
VAT: 801455240
Type: IK
NameCode: SONADO
Company folder: SONADO-IK-801455240",SONADO ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,801455240,IK,SONADO
SOUTHS-AE-998385868,"SOUTH STAFF ΑΕ
VAT: 998385868
Type: AE
NameCode: SOUTHS
Company folder: SOUTHS-AE-998385868",SOUTH STAFF ΑΕ,998385868,AE,SOUTHS
SPESNI-OE-800432486,"SPES SOLARIS AE - ΠΑΝΑΓΙΩΤΑ ΝΙΚΑ ΟΕ
VAT: 800432486
Type: OE
NameCode: SPESNI
Company folder: SPESNI-OE-800432486",SPES SOLARIS AE - ΠΑΝΑΓΙΩΤΑ ΝΙΚΑ ΟΕ,800432486,OE,SPESNI
SSSCON-AE-800346800,"SPES SOLARIS SOLAR CONCEPT AE
VAT: 800346800
Type: AE
NameCode: SSSCON
Company folder: SSSCON-AE-800346800",SPES SOLARIS SOLAR CONCEPT AE,800346800,AE,SSSCON
SPSOL2-AE-800341484,"SPES SOLARIS ΔΥΟ(2) ΑΕ
VAT: 800341484
Type: AE
NameCode: SPSOL2
Company folder: SPSOL2-AE-800341484",SPES SOLARIS ΔΥΟ(2) ΑΕ,800341484,AE,SPSOL2
SPSOL3-AE-800341515,"SPES SOLARIS ΤΡΙΑ(3)ΑΕ
VAT: 800341515
Type: AE
NameCode: SPSOL3
Company folder: SPSOL3-AE-800341515",SPES SOLARIS ΤΡΙΑ(3)ΑΕ,800341515,AE,SPSOL3
STONEV-AE-998385832,"STONE VILLAGE RESORTS AE
VAT: 998385832
Type: AE
NameCode: STONEV
Company folder: STONEV-AE-998385832",STONE VILLAGE RESORTS AE,998385832,AE,STONEV
